"id","home_type","bed","bath","play_ground","swimming_tank","acre_lot","house_size","city","state_name","zip_code","zip_code_population","listing_date","listing_price","sold_date","actual_sold_price","status"
"1tYfzmJGra","Single Family",1,4,"N","N",4.805,376,"Atlantic City","New Jersey",8405,45600,"2020-12-25",496675,"2020-06-23",190112,"Pending"
"8p3iFQFCkQ","Single Family",2,3,"Y","Y",7.316,659,"Basking Ridge","New Jersey",7920,7000,"2020-10-31",209943,"2020-03-09",64310,"Pending"
"JSIWbz3hRN","Single Family",3,4,"Y","N",0.904,2319,"Atlantic City","New Jersey",8404,8900,"2020-06-12",101996,"2020-05-23",320693,"Pending"
"GLYUGAk83i","Single Family",1,0,"N","Y",3.836,2411,"Atlantic City","New Jersey",8404,8900,"2021-01-18",392907,"2020-08-31",52876,"Pending"
"YEa7prL9ku","Land",4,3,"Y","N",9.977,1725,"Elizabeth","New Jersey",7208,6890,"2020-08-22",89894,"2020-11-25",319933,"Sold"
"xbouNhg7gs","Single Family",2,4,"Y","N",6.457,1529,"Elizabeth","New Jersey",7208,6890,"2020-06-24",124402,"2020-02-13",383141,"Pending"
"YQtGL7VHmI","Land",3,0,"Y","Y",7.321,1633,"Hudson County","New Jersey",7305,12700,"2020-07-01",210609,"2020-10-15",471690,"Pending"
"qeZLn4SuBk","Land",4,2,"N","Y",9.815,1419,"Atlantic City","New Jersey",8405,45600,"2021-01-20",86767,"2020-09-21",188746,"Pending"
"8Ot5zs4jCt","Multi Family",0,3,"Y","N",7.477,160,"Hudson County","New Jersey",7305,12700,"2020-12-06",122992,"2020-08-26",231615,"Sold"
"YML71vvQum","Single Family",1,2,"N","Y",6.255,952,"Atlantic City","New Jersey",8404,8900,"2020-06-19",193948,"2020-05-22",351983,"Pending"
"CfWiRx0CRF","Multi Family",1,3,"N","Y",6.966,2650,"Atlantic City","New Jersey",8402,6500,"2020-05-27",219853,"2020-06-19",495639,"Pending"
"0QfNMQst4M","Single Family",4,1,"N","N",1.405,1458,"Elizabeth","New Jersey",7216,2100,"2020-10-15",152153,"2020-05-05",66264,"Pending"
"AsQVX4QFzg","Land",0,2,"Y","N",0.932,973,"Atlantic City","New Jersey",8404,8900,"2020-09-06",419008,"2020-10-10",134607,"Sold"
"bxjiGhIrSW","Land",0,2,"N","N",0.09,1382,"Elizabeth","New Jersey",7215,26500,"2020-01-05",324962,"2020-06-23",120935,"Pending"
"h2QSvfoNoY","Land",3,4,"Y","N",1.944,2603,"Elizabeth","New Jersey",7216,2100,"2020-09-06",25748,"2020-03-05",72077,"Pending"
"Z3Mck6HNsJ","Land",3,3,"Y","Y",7.857,1367,"Elizabeth","New Jersey",7216,2100,"2020-05-02",178062,"2020-05-15",353990,"Pending"
"SmMSm5XJ04","Single Family",2,0,"Y","Y",4.178,1976,"Basking Ridge","New Jersey",7920,7000,"2020-01-30",392762,"2020-01-22",351923,"Sold"
"OIBY9D1lez","Single Family",0,4,"N","Y",0.182,976,"Elizabeth","New Jersey",7208,6890,"2020-11-29",322442,"2020-02-11",245383,"Sold"
"l8nLh1Z4AD","Single Family",4,3,"N","N",5.648,1255,"Hammonton","New Jersey",8037,23729,"2020-07-28",221250,"2021-01-03",136818,"Sold"
"rwPh6Mf1Mi","Single Family",5,1,"N","Y",1.816,2915,"Atlantic City","New Jersey",8405,45600,"2020-04-02",356364,"2021-01-04",32224,"Sold"
"o9MJsf2LjW","Multi Family",5,0,"Y","N",6.265,184,"Elizabeth","New Jersey",7208,6890,"2020-08-30",396911,"2020-08-07",92100,"Pending"
"uIv4TIaAhx","Single Family",5,1,"Y","N",4.835,706,"Elizabeth","New Jersey",7216,2100,"2020-05-01",471070,"2021-01-02",271877,"Pending"
"ytnSBiIG5i","Land",3,1,"N","N",6.387,2074,"Elizabeth","New Jersey",7216,2100,"2020-04-28",169023,"2020-11-10",414773,"Sold"
"NlqszU5f2k","Multi Family",5,0,"N","N",3.524,2094,"Atlantic City","New Jersey",8405,45600,"2020-06-22",294564,"2020-12-14",55916,"Pending"
"olWKfcXdFl","Multi Family",0,2,"Y","Y",7.509,816,"Atlantic City","New Jersey",8404,8900,"2020-09-18",141607,"2020-09-10",279782,"Pending"
